dt,min_psihat,neg_mass_psihat
0.002,0.9222067335655821,0.0
0.002,-2439178.4383631474,-0.0014604456616444004
0.002,-2241119.9032609784,-0.00168140678439727
0.002,-2954753.103978509,-0.0013411587665576278
0.002,-4017598.991664988,-0.0020330341759124183
0.002,-1957907.958784407,-0.002263964582551637
0.002,-1478099.5793576716,-0.0022520997928556466
0.002,-5398974.697197886,-0.0035720881656134203
0.002,-8647588.25130921,-0.005240260699783355
0.002,-4742884.01495195,-0.004816573138000308
0.002,-6610848.229434593,-0.004668091986722376
0.002,-4756435.920414081,-0.004942150449758231
0.002,-18046195.278268013,-0.007392512871206312
0.002,-8472718.999137085,-0.010890224574253014
0.002,-5679996.88825342,-0.010867765147376656
0.002,-21528068.09423266,-0.01746949975411967
0.002,-12730472.220308566,-0.022998353477195557
0.002,-6045964.286638136,-0.02212714509793709
0.002,-19525974.24002586,-0.021624822531990592
0.002,-18319825.100737453,-0.024679420929417533
0.002,-14441993.97987964,-0.026263962948509176
0.002,-9192723.553498197,-0.028716465653006708
0.002,-10402368.361933177,-0.03862728351265145
0.002,-5025811.424936372,-0.03939329745882416
0.002,-16805342.1537904,-0.042428899382731526
0.002,-34648147.93551049,-0.051133573565695326
0.002,-11328157.849756902,-0.05133307563777987
0.002,-19429066.417429905,-0.05714578968247576
0.002,-8685630.885928662,-0.059414017789431825
0.002,-5377576.966105544,-0.057744106998501174
0.002,-6628433.347497196,-0.05617465265078189
0.002,-30272591.290826768,-0.06356969177032876
0.002,-7136275.151448075,-0.06752745520870293
0.002,-20563088.34885589,-0.06831955958784883
0.002,-21277017.0125028,-0.07102528271359071
0.002,-7620768.878403919,-0.07247583939192634
0.002,-29915272.955214657,-0.07517766545067847
0.002,-12850189.57035861,-0.08277520052063556
0.002,-51640581.31779146,-0.08232573017096281
0.002,-18844749.655136462,-0.08527261426774316
0.002,-23011627.289384607,-0.0874368113752251
0.002,-16618581.682504933,-0.09231342917314095
0.002,-14683560.712704185,-0.09197263150858681
0.002,-18271059.452821113,-0.09680549432171985
0.002,-12322408.840570934,-0.09318892512431373
0.002,-7527416.228920117,-0.09396002238555812
0.002,-12164684.652143,-0.10362405564699215
0.002,-13526841.61409344,-0.10661509490818863
0.002,-7447211.999742282,-0.10291144715770148
0.002,-15235385.128525127,-0.10440077506346473
0.002,-18414475.178032745,-0.10857003230096413
0.002,-13743931.55723485,-0.1100138481979103
0.002,-5964311.259537543,-0.1091495912635741
0.002,-54480261.68764843,-0.10704871278384216
0.002,-18382237.79598296,-0.11407743073291642
0.002,-42699650.30436317,-0.11902262264194682
0.002,-3403749.2030193396,-0.1159582589897045
0.002,-3293067.9056529324,-0.11316718608996894
0.002,-2444617.021295758,-0.11026826547269516
0.002,-5049092.228452714,-0.10745864221119966
0.002,-9300655.502015367,-0.10681409606640017
0.002,-24316422.13654258,-0.12196064443606944
0.002,-17553711.877265003,-0.1257508684205661
0.002,-8317029.9748420585,-0.1250117707408296
0.002,-4911807.846303728,-0.12203181670056593
0.002,-33494498.27247691,-0.13170214567389904
0.002,-5611306.765522389,-0.13201984317025392
0.002,-9286373.415281815,-0.13086804151146786
0.002,-25965296.86411892,-0.13765181996075623
0.002,-29132817.807321038,-0.13645949740540497
0.002,-24285087.07051428,-0.13908746788100862
0.002,-4576848.297160622,-0.1351047294204547
0.002,-7682567.957365347,-0.13561469347404492
0.002,-12548859.244198734,-0.13469338678006043
0.002,-14900785.538526438,-0.13608814007193376
0.002,-17199384.283295896,-0.13564402348850987
0.002,-7834092.192366341,-0.1395183978568988
0.002,-21321977.841561545,-0.14281149124487874
0.002,-19085741.90255747,-0.14808643463642823
0.002,-17894603.88077636,-0.14895393964224385
0.002,-9240749.822464453,-0.14544044504088377
0.002,-19470718.925678767,-0.14301293520060873
0.002,-7323204.911834257,-0.14150015376831965
0.002,-9787507.167133128,-0.1422776474063101
0.002,-21414389.461437628,-0.14294965238672308
0.002,-7271599.802551666,-0.140345430403309
0.002,-8488543.008051142,-0.13736795984484762
0.002,-56004328.955301754,-0.13931395939829036
0.002,-22344350.10990137,-0.14618541282946157
0.002,-7420310.430937867,-0.149967621057613
0.002,-14199619.347494366,-0.16014495249749702
0.002,-5325729.517927557,-0.15625667027421924
0.002,-9454703.521002214,-0.15603510907015689
0.002,-57057774.563063934,-0.1557323632643794
0.002,-6782555.807392481,-0.15269292798588457
0.002,-22280795.41071961,-0.15586963347227936
0.002,-8408907.88073431,-0.15421240569317984
0.002,-30750751.149435848,-0.15585237182294223
0.002,-8414704.038033178,-0.15596239382168695
0.002,-9810915.67042941,-0.15362754761887953
0.002,-4229263.24212693,-0.15318959210337518
0.002,-4705201.440244773,-0.15166661671290932
0.002,-29001904.3238353,-0.15497900307860474
0.002,-11595008.679030573,-0.15492045199942897
0.002,-6120193.250089513,-0.15480837903799016
0.002,-4793141.770184939,-0.15156609043287067
0.002,-36184831.474767394,-0.15370043603499747
0.002,-54470771.394660525,-0.1541643829532719
0.002,-17579067.733028386,-0.15289017320147058
0.002,-6394699.827431567,-0.16485035212277338
0.002,-17144608.56983502,-0.16953049481616533
0.002,-12989521.651468603,-0.16801019700808695
0.002,-14613284.342308462,-0.17603115924081936
0.002,-18204521.780809484,-0.18139303470777246
0.002,-17532619.42141586,-0.18451160261909783
0.002,-12116950.661177857,-0.18566780033258518
0.002,-4504771.734395185,-0.18065805046438005
0.002,-55792355.84315789,-0.18131129383472408
0.002,-3604615.2475075643,-0.17695626320174207
0.002,-24850550.31244814,-0.17502347877457325
0.002,-3602906.352903463,-0.1738645681212784
0.002,-5744843.339070449,-0.1707596987577666
0.002,-12583463.69485419,-0.17066776841066128
0.002,-15011176.06188006,-0.17507472812502894
0.002,-31880838.661860466,-0.18179725184654116
0.002,-21224173.98624461,-0.18145678078755417
0.002,-13888811.748877859,-0.1851717344616143
0.002,-65990435.10263876,-0.19384316201946383
0.002,-4283005.615538206,-0.1886702474694314
0.002,-25714030.5136982,-0.18985552746591983
0.002,-56514922.43131442,-0.19256579600429913
0.002,-18198446.281347454,-0.1916552888398186
0.002,-7825144.2872588225,-0.18798006112779878
0.002,-15217008.470291983,-0.18983219874953935
0.002,-10091985.278791025,-0.18777256321049274
0.002,-8461318.851704214,-0.186881255682169
0.002,-33482264.595216364,-0.18401075706032133
0.002,-19813957.997026954,-0.1884128175427448
0.002,-11280538.454961088,-0.19308083100349394
0.002,-12852420.778988168,-0.19070753899274773
0.002,-14601732.058749236,-0.18806208725744747
0.002,-42940882.24917683,-0.18494171270841636
0.002,-34058375.03042264,-0.1873369509879164
0.002,-11936340.40769241,-0.18445277404220756
0.002,-13990766.733099492,-0.18354010262300996
0.002,-9014798.721640935,-0.18226202231575656
0.002,-25586285.202312008,-0.1952910176473358
0.002,-9581129.793329855,-0.19172156991619788
0.002,-14139667.877203636,-0.19478303668606528
0.002,-24372736.7950361,-0.19740297111427207
0.002,-32017776.127021685,-0.20986889111436596
0.002,-9730882.11807596,-0.20671150911498803
0.002,-17169691.55220447,-0.21516123015628993
0.002,-11719145.770048512,-0.20977875586135736
0.002,-27838193.96325587,-0.2136540731731497
0.002,-8461696.948914638,-0.2140150329218286
0.002,-16196313.630137827,-0.21267075424958565
0.002,-20051256.97445804,-0.2105990455630362
0.002,-11037487.034503277,-0.2109065689206246
0.002,-42619399.53964889,-0.21660261466426955
0.002,-34743941.864811346,-0.22384553564211054
0.002,-15362131.157102711,-0.22435464522991633
0.002,-5975638.582331958,-0.21909667635542085
0.002,-2495950.0286805406,-0.21462647728510215
0.002,-18201903.183846343,-0.21465562188798692
0.002,-8730983.328891791,-0.21216753055479354
0.002,-12123402.128165547,-0.2115309484804707
0.002,-23603871.227650013,-0.2131400851972237
0.002,-18293679.408534296,-0.21230206756716719
0.002,-21485774.689180654,-0.21018730988240714
0.002,-7397969.9547399,-0.20607123148994244
0.002,-3113726.1635930603,-0.20292013041075257
0.002,-3571608.5575650996,-0.1998655838836458
0.002,-2995197.58873371,-0.19718975450032872
0.002,-14003320.215045338,-0.20027199303340376
0.002,-25910775.04963301,-0.20002841157667006
0.002,-12859389.821207402,-0.19960685052288824
0.002,-14985549.816170618,-0.19945694588985372
0.002,-4978491.019502814,-0.19667346644228925
0.002,-15404044.725539975,-0.20533773070436553
0.002,-8821457.498817585,-0.20621017274061842
0.002,-9520067.524275811,-0.20813213686918275
0.002,-6024133.398953212,-0.2044046744793706
0.002,-8448623.823354315,-0.20093833190260801
0.002,-12102746.979784159,-0.2012246398150056
0.002,-17811032.132775657,-0.20662462057419734
0.002,-14010137.438128836,-0.20878310161580366
0.002,-9401360.549169665,-0.20571566088659346
0.002,-57246144.59697659,-0.20529892355655197
0.002,-9806458.052744929,-0.20697818311506433
0.002,-20515124.888499282,-0.21205416707016703
0.002,-25554676.44469322,-0.21265477113689432
0.002,-10277753.752606712,-0.21244564289622786
0.002,-5632916.635698858,-0.2098551252544696
0.002,-10276440.085886618,-0.20682415180765323
0.002,-12952268.579022286,-0.20416165432385786
0.002,-7459886.31751671,-0.202241173494573
0.002,-26681253.767467126,-0.2038015087613705
0.002,-33617668.014752455,-0.20671084475050047
0.002,-24377642.472983938,-0.22078392703413177
0.002,-6758746.384024761,-0.2170649785622874
0.002,-42268454.43115919,-0.21705468479146833
0.002,-5520416.66815767,-0.21361476644203342
0.002,-8373545.031032648,-0.21011290389415155
0.002,-3428299.8388539534,-0.20714430691730118
0.002,-5716897.306738045,-0.20417472790670982
0.002,-4769300.207724139,-0.2018704427787628
0.002,-18340311.008710437,-0.20401894815853608
0.002,-28827080.872412574,-0.20456048969034918
0.002,-9264631.924410578,-0.20440380563858765
0.002,-18298228.586399615,-0.20344783387681462
0.002,-10644713.448162915,-0.208643688791767
0.002,-7625800.092239261,-0.20736813301664975
0.002,-13438784.946996253,-0.20821597651150509
0.002,-16002180.372688932,-0.20539761142446744
0.002,-38602656.298806086,-0.20583107770945988
0.002,-7720700.738574768,-0.20118755619091994
0.002,-4127763.889744151,-0.1978886526535752
0.002,-11952111.127822418,-0.19821456412336885
0.002,-21683908.96811943,-0.19757746020327027
0.002,-10266036.946645053,-0.19462629859628416
0.002,-9461835.19591871,-0.19215297162030537
0.002,-9915578.124217937,-0.1930488971496459
0.002,-12581164.193119265,-0.1915197788782193
0.002,-7055639.464967922,-0.18805390142138428
0.002,-29262031.849546287,-0.19064374901361678
0.002,-11921970.88380472,-0.1969615345374613
0.002,-5456673.0264909025,-0.19358019340434973
0.002,-7735164.565641175,-0.19143311993886697
0.002,-11504309.195867592,-0.1874702739020609
0.002,-9371676.414979268,-0.18620306633303446
0.002,-14879913.902822342,-0.1858610924895785
0.002,-36296605.80668321,-0.19023401698706108
0.002,-14170078.729713878,-0.19890610637846662
0.002,-10457449.961787105,-0.19414963881805064
0.002,-4566389.350205846,-0.1925646404847602
0.002,-11124572.85056788,-0.19550810894823567
0.002,-18231911.326945283,-0.1959998213667308
0.002,-8894925.72841318,-0.19532115455850774
0.002,-6674832.617910586,-0.19203814106197642
0.002,-55839827.397345304,-0.19369347226806022
0.002,-12216390.65381432,-0.21018999275918615
0.002,-3591095.8751699934,-0.20516283898873988
0.002,-4912841.134481226,-0.2017625414945704
0.002,-19625366.005648192,-0.2011703406465388
0.002,-14453624.946680859,-0.2090314858698682
0.002,-18289366.817520835,-0.21390398012713363
0.002,-14776194.77018295,-0.21702132268465524
0.002,-9260464.552564127,-0.21874837930786695
0.002,-24171104.605214655,-0.21509134708538102
0.002,-10441353.761584822,-0.21192620871815884
0.002,-53335883.263538405,-0.21577217454574368
0.002,-7647605.9178651795,-0.21470836911038277
0.002,-13680521.482779805,-0.21410049864120562
0.002,-11394067.631406544,-0.21346308649568735
0.002,-51282699.34659716,-0.21449113103743475
0.002,-8595494.91318117,-0.21067427326471816
0.002,-8611071.202277362,-0.21181648808892156
0.002,-28722302.86481535,-0.20868578041618902
0.002,-9897961.888788529,-0.2094386194270368
0.002,-12985575.000272794,-0.21131962366746299
0.002,-8655805.885275355,-0.2111164094256321
0.002,-9159010.421296475,-0.21264460227253212
0.002,-8994770.948885359,-0.21198968965244624
0.002,-15214207.63539027,-0.21428496869776212
0.002,-14904923.007398851,-0.2204742551980976
0.002,-14038380.78321369,-0.22290410546818648
0.002,-24453115.66764294,-0.24011734964929804
0.002,-8759289.708239656,-0.23368737530057565
0.002,-13991133.462656964,-0.23759773594617006
0.002,-9053269.107947333,-0.2347970787736271
0.002,-18353040.3933857,-0.2339332991022855
0.002,-11313216.767425774,-0.24386368103707706
0.002,-16971325.77923846,-0.24680824007716187
0.002,-33689833.71221393,-0.2558586269285075
0.002,-6202620.951467782,-0.25040895938244595
0.002,-4584279.362448488,-0.2448421599848562
0.002,-6296767.049701995,-0.24032963882895286
0.002,-11389528.803856168,-0.2391137359093218
0.002,-29226622.9914639,-0.2433989345910284
0.002,-12433267.37716227,-0.23969710067721717
0.002,-4317612.992277073,-0.2356142701298104
0.002,-4395356.682189853,-0.23420322628768275
0.002,-8207238.3181127105,-0.23376020176923568
0.002,-13133816.9665349,-0.23114566049712404
0.002,-27649621.32444751,-0.2388854528439309
0.002,-46339355.676896475,-0.24132265799633454
0.002,-12178094.07979794,-0.2371844280526479
0.002,-10537924.228861552,-0.2340163427172597
0.002,-25625914.08041792,-0.24217102275596877
0.002,-21138604.08079217,-0.25115506826925527
0.002,-12446075.187240655,-0.24910121292980358
0.002,-15271744.588145683,-0.250034650360245
0.002,-14893318.103269644,-0.251758049692498
0.002,-11557132.524817843,-0.2563769089326686
0.002,-12647392.568753727,-0.2580675110544186
0.002,-19287545.742317088,-0.2602976626391834
0.002,-47730037.964117855,-0.2615197419965034
0.002,-11259537.606187167,-0.26310269205981585
0.002,-50106350.60668556,-0.26011970566982257
0.002,-27876021.072750736,-0.26188285717328563
0.002,-14720408.547120584,-0.2664347550360795
0.002,-18166681.027123168,-0.2685635921222909
0.002,-6903519.406530103,-0.2646423813811094
0.002,-3188128.408609148,-0.2599215289220581
0.002,-11249342.747052956,-0.25998447735486657
0.002,-10925542.466091001,-0.2567467130127711
0.002,-25501315.421913125,-0.25354151569310246
0.002,-21239221.37614381,-0.25768478620910495
0.002,-13101276.572526699,-0.25910158858649984
0.002,-32537778.075313408,-0.25861359433849473
0.002,-8520344.841864023,-0.25922240614532716
0.002,-12036440.656754443,-0.2542524034637752
0.002,-3310219.9122628355,-0.25009596810710644
0.002,-7442862.029123266,-0.24700553212333493
0.002,-17143795.398630105,-0.2484854103381419
0.002,-26683104.753920242,-0.25372863607285007
0.002,-63501967.99778861,-0.2582554912844048
0.002,-3755413.5991134373,-0.2538799045015319
0.002,-5077229.380971485,-0.25102438379652203
0.002,-13995763.573660985,-0.2513637412063301
0.002,-16720683.558055464,-0.26331018879792656
0.002,-6030008.051852364,-0.2591455779249602
0.002,-17766097.56422995,-0.26320722301195365
0.002,-10520368.749043742,-0.2629358267921674
0.002,-16004770.783419413,-0.26223531801049316
0.002,-43459023.40483187,-0.26573930701837595
0.002,-28304123.998686068,-0.26097585093115727
0.002,-15158343.509088917,-0.25691652117952346
0.002,-8557744.37845214,-0.25687196582230887
0.002,-3271591.4501075274,-0.2534053677123264
0.002,-20641291.556177516,-0.2536265493561941
0.002,-12365596.56563612,-0.2550110706284823
0.002,-10510649.519212209,-0.2518626044842658
0.002,-22068802.30759843,-0.25903817997321293
0.002,-9205733.813838925,-0.25631842278625977
0.002,-15023134.628361493,-0.26203007827434477
0.002,-36671091.28494943,-0.26062983659277283
0.002,-7752768.469832826,-0.2661152118619578
0.002,-56000121.44949361,-0.26366082955105036
0.002,-20687595.197762765,-0.2618847772458125
0.002,-19150427.21230631,-0.26414046556167087
0.002,-28683975.209066465,-0.26616282973078204
0.002,-18076494.159948777,-0.26310120429739553
0.002,-18608632.493048627,-0.2729340680260727
0.002,-14384803.661152124,-0.2698963526994975
0.002,-12897915.970978603,-0.26925449145227115
0.002,-10129256.463291846,-0.265454015459859
0.002,-9730171.248267561,-0.26603386827881836
0.002,-21081555.225924823,-0.26962812485946874
0.002,-10110172.60485017,-0.2657060118994642
0.002,-17926157.63009804,-0.2633831505904917
0.002,-6943721.406750372,-0.2593987421192623
0.002,-4591798.174912492,-0.25559122404841106
0.002,-20521238.01428109,-0.2589892787317205
0.002,-5910033.603165164,-0.25617747488976295
0.002,-17025667.02801773,-0.26226698057986697
0.002,-14624877.484277349,-0.2680750182723543
0.002,-7167988.997107444,-0.2657308483185792
0.002,-18433888.139087137,-0.2706547852004306
0.002,-19430741.168464284,-0.2724324551569215
0.002,-39963189.83835544,-0.2784686507916172
0.002,-4342735.5252462365,-0.2731894040848434
0.002,-33047401.48778127,-0.27635843722187425
0.002,-6309019.541588094,-0.2754199378736869
0.002,-9079120.490365177,-0.2780640464263493
0.002,-19014162.98335257,-0.27996317116141023
0.002,-29285500.4057765,-0.2807924373487517
0.002,-32431985.382055696,-0.2818766448430735
0.002,-10576769.26956963,-0.28295096634881906
0.002,-24299075.982098818,-0.28332446307436143
0.002,-8438364.857611975,-0.28079482488242263
0.002,-11947034.842709094,-0.27656735254736736
0.002,-20920920.36384956,-0.2844062241306144
0.002,-9306288.266563145,-0.2806215720778781
0.002,-25629694.53499256,-0.28063592163875395
0.002,-7619847.700071555,-0.27798578771365945
0.002,-26110813.5980211,-0.27734121084154134
0.002,-22280776.61738061,-0.27918554824436115
0.002,-31885971.843743887,-0.2892907349327595
0.002,-9565104.481993549,-0.28455177921789876
0.002,-6623478.2936719535,-0.2811251781954607
0.002,-20836139.895225257,-0.2789113402009048
0.002,-44135997.48944496,-0.2789092031004846
0.002,-13601159.885852767,-0.27808006310716094
0.002,-4793812.793272141,-0.2729212392934168
0.002,-20397610.22471825,-0.27121326579054694
0.002,-4030930.7339546923,-0.268605671905646
0.002,-9218312.64465652,-0.27297622608884864
0.002,-7225673.48502179,-0.2706519957229929
0.002,-8608435.743882915,-0.271351443306863
0.002,-17687889.374504633,-0.2751733152468584
0.002,-7089174.92829193,-0.2720228874613838
0.002,-14450418.99639688,-0.28171317479399527
0.002,-5164091.568132405,-0.27706277122661593
0.002,-4234257.865217988,-0.27319310201117364
0.002,-10827233.145237284,-0.27170988804406204
0.002,-36290776.64451334,-0.2810676041598572
0.002,-23637248.281625144,-0.2808897707242989
0.002,-27650479.809921037,-0.2813140541475403
0.002,-7873422.110451639,-0.27928205431246206
0.002,-25636843.355622504,-0.2826957920540799
0.002,-14948268.281756295,-0.2831307323906096
0.002,-6003510.756992988,-0.28574194475302195
0.002,-15189475.378123896,-0.28303694426409204
0.002,-25622229.49389189,-0.2951088987612678
0.002,-10484420.214206027,-0.291171440160921
0.002,-5911146.656388728,-0.2890372212715935
0.002,-25571239.69464519,-0.29757134334381785
0.002,-13110672.279898586,-0.29855067283298
0.002,-19329631.75698053,-0.2991834150072711
0.002,-24614234.342480652,-0.3151459537619797
0.002,-33495972.00406358,-0.31938996634647887
0.002,-9699840.306476027,-0.31832830562807246
0.002,-16252069.362720147,-0.3192555339709579
0.002,-24555178.538364086,-0.32144735456460555
0.002,-16186341.520652918,-0.3223993954966555
0.002,-21231327.82594192,-0.3245633686797402
0.002,-12705629.144849459,-0.3200333797004883
0.002,-21113441.47304443,-0.31551438056018594
0.002,-11309932.497472959,-0.31170383253178885
0.002,-9226202.223598838,-0.3092275244129914
0.002,-12315928.61590595,-0.30909156078495237
0.002,-9178731.717223853,-0.31382999548602064
0.002,-22851553.21097505,-0.3201556766917847
0.002,-7143824.388059783,-0.31454560089804046
0.002,-3050305.261051303,-0.31136947645978635
0.002,-9435511.334236778,-0.30739996162526306
0.002,-11114525.55385286,-0.3051312688891451
0.002,-10640767.57198459,-0.3015005029300555
0.002,-10672714.716895005,-0.3015263109900483
0.002,-11183272.622636719,-0.29877540909557104
0.002,-21227690.696394514,-0.3060370607694981
0.002,-12553615.572159572,-0.3072293307841526
0.002,-17396623.28997779,-0.3115823370491244
0.002,-20684277.39283886,-0.3068096868879472
0.002,-3852749.4063226343,-0.3025797089032562
0.002,-3357337.7179560927,-0.29972606618251607
0.002,-5343106.344147869,-0.29616941542021014
0.002,-13175447.038445882,-0.3013638660177117
0.002,-41628620.45682773,-0.31551483062558794
0.002,-11348264.54613339,-0.31017188868590856
0.002,-26602890.46900281,-0.30819325198251757
0.002,-7191933.9783053305,-0.3048016212744624
0.002,-10235915.077591645,-0.30042367081064403
0.002,-33646735.257239364,-0.3039354912267186
0.002,-8195259.281390242,-0.30262475880875217
0.002,-6638372.530217317,-0.2988372523545825
0.002,-4845104.049396145,-0.29638086622476256
0.002,-14197856.966522662,-0.2946332047711344
0.002,-9220365.188848823,-0.303640026260971
0.002,-26509563.95015825,-0.3023952985854181
0.002,-14633540.130568419,-0.30331365921449394
0.002,-14211385.972415553,-0.30392073982169077
0.002,-18943922.15629564,-0.3067635338704555
0.002,-9505920.495575927,-0.30517289934734015
0.002,-10165062.386716254,-0.3002819958870785
0.002,-18441544.665941022,-0.311928885656805
0.002,-17325800.25978345,-0.3090069373861529
0.002,-7464252.692780742,-0.30756564980883694
0.002,-33480579.876509972,-0.30370754923967774
0.002,-5773102.107982026,-0.3056965048031681
0.002,-9144094.078278158,-0.3025394160037358
0.002,-51183909.4946773,-0.302301541050611
0.002,-47584373.092345886,-0.30769888437510895
0.002,-11916983.869500905,-0.3030432522181953
0.002,-32119830.369999398,-0.309439028163473
0.002,-9536778.630457582,-0.3102100749285913
0.002,-32062834.716206137,-0.3170109648011488
0.002,-9441165.314521628,-0.31247162485555086
0.002,-10393273.147547541,-0.3116975273134893
0.002,-11251137.433997462,-0.3174756620305443
0.002,-21191059.13689995,-0.31811869016656347
0.002,-23158486.877264343,-0.33160489009974625
0.002,-7276592.060433617,-0.33009121611262815
0.002,-48711809.67383178,-0.3378128783655443
0.002,-4925216.7251469325,-0.331083778137839
0.002,-3258668.3675223654,-0.32687362152199184
0.002,-14794082.438039746,-0.33303909334037063
0.002,-16671922.439919878,-0.32962909247943795
0.002,-3901533.7186772907,-0.32425044817906645
0.002,-5700855.591335594,-0.3191889486318831
0.002,-15910638.160884082,-0.3151156333742844
0.002,-7082362.537602829,-0.31151570273367146
0.002,-31534631.29562157,-0.31960739983654785
0.002,-9102491.212185519,-0.3213520882415897
0.002,-53553735.06767884,-0.32413803013623294
0.002,-16128926.61385899,-0.31987310536413144
0.002,-14337754.33670665,-0.317351408018406
0.002,-10951202.932159007,-0.31453719567331506
0.002,-4075369.2219613073,-0.31186899198224305
0.002,-4849695.254223909,-0.3085673119431903
0.002,-16690304.125895478,-0.30498259290531493
0.002,-13294069.118323047,-0.30830240057655045
0.002,-5194589.04753107,-0.30387117447214285
0.002,-5465739.570421711,-0.30043116409294146
0.002,-5304652.031257973,-0.2972858747427116
0.002,-4539078.8358237585,-0.2955711620158131
0.002,-30795261.725187946,-0.2994157986150605
0.002,-8777030.15191748,-0.29805991653014413
